ProductName,Power(W),Efficiency Rating
Fractal Design Newton R3 1000W White,1000 W,80 Plus Platinum
Thermaltake Smart Series 630W,630 W,80 Plus
EVGA Bronze 500W,500 W,80 Plus Bronze
Fractal Design Edison M 550W,550 W,80 Plus Gold
Thermaltake Toughpower DPS G Gold 750W,750 W,80 Plus Gold
Be quiet! Dark Power Pro 10 650W,650 W,80 Plus Gold
Thermaltake TR2 500W,500 W,80 Plus Bronze
Super Flower Leadex Gold 750W Black,750 W,80 Plus Gold
Antec TruePower Classic 650W,650 W,80 Plus Gold
Seasonic Platinum Series Fanless 400W,400 W,80 Plus Platinum
Thermaltake Toughpower XT 675W,675 W,
Xilence Single Fan 400W,400 W,
Zalman ZM360B-APS 360W,360 W,80 Plus
Corsair TX850M,850 W,80 Plus Bronze
Fractal Design Newton R3 1000W,1000 W,80 Plus Platinum
SilverStone Strider Essential Gold 600W,600 W,80 Plus Gold
Aerocool E80-700 700W,700 W,
Aerocool Xpredator 550M 550W,550 W,80 Plus Bronze
FSP Hexa 400W,400 W,80 Plus Gold
Xilence Performance C 500W,500 W,
Antec TruePower Gold 650W,650 W,80 Plus Gold
SilverStone ST40F-ES 400W,400 W,80 Plus
Be quiet! System Power 7 300W,300 W,80 Plus Bronze
Chieftec GPC-400S 400W,400 W,
Aerocool Xpredator 650GM 650W,650 W,80 Plus Gold
Aerocool E85M-550 550W,550 W,
FSP FSP350-60GHN,350 W,80 Plus Bronze
FSP Aurum PT 850W,850 W,80 Plus Platinum
Chieftec GPE-400S,400 W,
Seasonic Platinum Series 1200W,1200 W,80 Plus Platinum
Cooler Master B2 400W,400 W,80 Plus Bronze
Thermaltake Toughpower 1000W SLI,1000 W,80 Plus Bronze
Corsair CX750,750 W,80 Plus Bronze
Be quiet! Straight Power 10 600W,600 W,80 Plus Gold
Thermaltake Litepower Black Edition 450W,450 W,
Thermaltake Toughpower Cable Management 1200W,1200 W,80 Plus Bronze
FSP Aurum Pro 850W,850 W,80 Plus Gold
SilverStone Strider 700W,700 W,80 Plus Silver
SilverStone Strider Titanium 700W,700 W,80 Plus Titanium
Aerocool Xpredator 650M 650W,650 W,80 Plus Bronze
Thermaltake Smart Series 850W,850 W,80 Plus Bronze
EVGA 500B 500W,500 W,80 Plus Bronze
Fractal Design Edison M 750W,750 W,80 Plus Gold
Chieftec GPC-500S 500W,500 W,
Corsair CX430 V2,430 W,80 Plus Bronze
Seasonic SS-1050XP3 Snow Edition 1050W,1050 W,80 Plus Platinum
Corsair CX430 V3,430 W,80 Plus Bronze
Seasonic X-Series 650W V2,650 W,80 Plus Gold
Seasonic X-Series Fanless 460W,460 W,80 Plus Platinum
Zalman ZM500-ST 500W,500 W,80 Plus
Corsair CX500,500 W,
Corsair VS450 V2,450 W,80 Plus
Aerocool Strike-X CM 500W,500 W,80 Plus Bronze
SilverStone Evolution 2.0 1200W,1200 W,80 Plus Gold
Corsair HX750i,750 W,80 Plus Platinum
EVGA SuperNova B2 750W,750 W,80 Plus Bronze
Antec VPF Bronze 350W,350 W,80 Plus Bronze
Thermaltake Toughpower 750W SLI,750 W,
EVGA SuperNova G2 550W,550 W,80 Plus Gold
Corsair RM650x,650 W,80 Plus Gold
Antec EarthWatts 750W Green,750 W,80 Plus Bronze
Cooler Master Elite Series 400W,400 W,
FSP Hyper Series 600W,600 W,80 Plus Bronze
Corsair CX650M,650 W,80 Plus Bronze
Chieftec APS-400SB 400W,400 W,80 Plus Bronze
Antec VP350P Basiq 350W,350 W,80 Plus
Corsair GS600 V2,600 W,
Thermaltake Toughpower 600W,600 W,80 Plus Bronze
Be quiet! Straight Power E6 400W,400 W,
Antec HCP Platinum 1000W v2,1000 W,80 Plus Platinum
Seasonic S12G 550W,550 W,80 Plus Gold
Thermaltake Smart SE 730W,730 W,80 Plus Bronze
Super Flower Golden Green HX 350W,350 W,80 Plus Gold
Corsair RM650i,650 W,80 Plus Gold
Thermaltake Toughpower XT 1275W,1275 W,
Super Flower Leadex Gold 1000W White,1000 W,80 Plus Gold
Chieftec APS-550SB 550W,550 W,80 Plus Bronze
FSP FSP650-80EGN,650 W,80 Plus Gold
Seasonic Prime 850W 80+ Titanium,850 W,80 Plus Titanium
Xilence Performance C 700W,700 W,
Xilence Performance A Series 530W,530 W,80 Plus
Be quiet! Pure Power L8 730W CM,730 W,80 Plus Bronze
SilverStone ST50F-ES230 500W,500 W,80 Plus Silver
Seasonic G-Series 550W,550 W,80 Plus Gold
FSP Hydro G 850W,850 W,80 Plus Gold
SilverStone Strider Gold S Series 850W,850 W,80 Plus Gold
SilverStone ST50F-PB 500W,500 W,80 Plus Bronze
FSP Aurum Gold 500W,500 W,80 Plus Gold
Cooler Master V-Series 650W,650 W,80 Plus Gold
Seasonic S12II 520W V2,520 W,80 Plus Bronze
Cooler Master Elite Power 500W,500 W,
FSP FSP400-70MP 400W,400 W,
Xilence Green Power 550W,550 W,80 Plus
FSP Source FSP300-60HCN,300 W,
Be quiet! Pure Power 9 CM 700W,700 W,80 Plus Silver
Seasonic SS-400ES,400 W,80 Plus Bronze
SilverStone Strider Gold 1200W,1200 W,80 Plus Gold
Zalman ZM850-GVM 850W,850 W,80 Plus
Corsair CX550M,550 W,80 Plus Bronze
EVGA SuperNova GQ 850W,850 W,80 Plus Gold
Cooler Master Silent Pro M2 1000W,1000 W,80 Plus Silver
Seasonic S12II 620W,620 W,80 Plus Bronze
Super Flower Golden Silent Fanless Platinum 500W,500 W,80 Plus Platinum
Corsair HX850i,850 W,80 Plus Platinum
Xilence Single Fan 550W,550 W,80 Plus
