ProductName,FormFactor,CPUSocket,Chipset,MemType,Sata3Ports,PCIExpress_x16Ports,DDR3MemSlots,DDR4MemSlots
Gigabyte P67A-UD3P-B3,ATX,Socket 1155,Intel P67,DDR3,2,2,4,
Gigabyte Z97X Gaming G1,ATX,Socket 1150,Intel Z97,DDR3,10,4,,
MSI X58A-GD65,ATX,Socket 1366,Intel X58,DDR3,2,3,,
ASRock Z68M/USB3,Micro ATX,Socket 1155,Intel Z68,DDR3,2,1,,
MSI H55M-E33,Micro ATX,Socket 1156,Intel H55,DDR3,,,4,
ASUS H97-Pro,ATX,Socket 1150,Intel H97,DDR3,6,2,4,
ASUS P5QL,ATX,Socket 775,Intel P43,DDR2,,,,
Gigabyte Z97X Game Plus,ATX,Socket 1150,Intel Z97,DDR3,6,3,,
ASUS P5B Premium Vista Edition,ATX,Socket 775,Intel P965,DDR2,,,,
ASUS P8Z77-V LX,ATX,Socket 1155,Intel Z77,DDR3,2,2,4,
ASRock 870iCafe R2.0,ATX,Socket AM3+,AMD 870,DDR3,5,1,,
Gigabyte Z77P-D3,ATX,Socket 1155,Intel Z77,DDR3,2,1,,
MSI Big Bang-Fuzion,ATX,Socket 1156,Intel P55,DDR3,,,4,
ASUS P5QC,ATX,Socket 775,Intel P45,DDR2,,,,
ASUS F1A55-M LX3 R2.0,ATX,Socket FM1,AMD A55,DDR3,,,,
MSI P67A-GD55 (B3),ATX,Socket 1155,Intel P67,DDR3,2,2,,
Gigabyte EX58-UD4P,ATX,Socket 1366,Intel X58,DDR3,,,,
ASUS Z9PA-U8,ATX,Socket 2011,Intel C602,DDR3,2,2,,
MSI K8N Diamond Plus,ATX,Socket 939,Nvidia nForce 4 SLI 16X,,,,,
Gigabyte H81M-H,Micro ATX,Socket 1150,Intel H81,DDR3,2,1,,
ASRock X99 Extreme6/AC,ATX,Socket 2011-3,Intel X99,DDR4,10,3,0,8
MSI Z68A-GD65 (B3),ATX,Socket 1155,Intel Z68,DDR3,4,2,4,
ASUS P5KPL,ATX,Socket 775,Intel G31,DDR2,,,,
Gigabyte EP43-DS3L,ATX,Socket 775,Intel P43,DDR2,,,,
